companyName,website,stand,name,phone,email,countryName,mainStandHolderName
Accor Hotels Indonesia@WTMKT21,https://all.accor.com/indonesia,AS500,Accor Hotels Indonesia,+6281916695529,Lin.PARLINA@accor.com,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
Accueil & Tradition (Restaurants & Events)@WTMKT21,,EU440,Accueil & Tradition (Restaurants & Events),,,Belgium,Belgium - visit.brussels
Adaaran Select Meedhupparu@WTMKT21,,AS100,Adaaran Select Meedhupparu,,,Maldives,Maldives Marketing and Public Relations Corporation
Address Beach Resort Fujairah@WTMKT21,https://www.addresshotels.com/en/resorts/address-beach-resort-fujairah/,"ME010, ME101",Address Beach Resort Fujairah ,+97192047777,SSudha@addresshotels.com,United Arab Emirates,"Fujairah Tourism & Antiquities Authority, Government of Fujairah"
ADORE Africa@WTMKT21,https://www.adoreafrica.com,ENP1,ADORE Africa | Scintillating Travel By Design,+27828084385,lizle@adoreafrica.com,South Africa,South African Tourism
VIAJES ADRAMAR S.A.@WTMKT21,,EU500,ADRAMAR INCOMING SERVICES MALLORCA - MENORCA - IBIZA,,,Spain,"BALEARIC ISLANDS (Mallorca, Menorca, Ibiza & Formentera)"
Adriatic DMC@WTMKT21,https://www.adriaticdmc.hr/,EU1200,Adriatic DMC,+385 20 400 586,adriatic@adriaticdmc.hr,Croatia,Croatian National Tourist Board
Adriatic Luxury Hotels@WTMKT21,https://www.adriaticluxuryhotels.com/,EU1200,Adriatic Luxury Hotels,+38520300300,reservations@alh.hr,Croatia,Croatian National Tourist Board
Adventure Indonesia@WTMKT21,,AS500,Adventure Indonesia,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
AEGEAN AIRLINES@WTMKT21,https://en.aegeanair.com/,"EU1150, EU1100, EU1150, EU1100",AEGEAN AIRLINES,(+30) 210 6261000 ,,Greece,Greek National Tourism Organisation
Africa Israel Hotels@WTMKT21,,EU1550,Africa Israel Hotels,,,Israel,Israel Government Tourist Office
Africa True Travel@WTMKT21,https://www.africatruetravel.co.za,ENP1,Africa True Travel,+27797722770,priscilla@africatruetravel.co.za,South Africa,South African Tourism
AfricaMuseum@WTMKT21,,EU440,AfricaMuseum,,,Belgium,Belgium - visit.brussels
African Safari Collective@WTMKT21,,ENP1,African Safari Collective,,,South Africa,South African Tourism
Agència d'Estratègia Turistica de les Illes Balears (AETIB),https://www.illesbalears.travel,EU500,"BALEARIC ISLANDS (Mallorca, Menorca, Ibiza & Formentera)",++34 971176699,info@illesbalears.travel,Spain,
AGENCIA DE VIAJES ANITA @WTMKT21,,ENP3,AGENCIA DE VIAJES ANITA,,,Panama,VISIT PANAMA
Agency Van Gogh DMC@WTMKT21,https://www.slovenia-balkans.com/,EU1800,Agency Van Gogh DMC,,incoming@agencija-vangogh.si,Slovenia,Slovenian Tourist Board
Airport Direct ehf,,EU2045,Airport Direct ehf,,,Iceland,
Aitken Spence Hotel Managements (Pvt) Ltd @WTMKT21,,AS520,AITKEN SPENCE HOTELS,,,Sri Lanka,Sri Lanka Tourism Promotion Bureau
AITKEN SPENCE TRAVELS PVT LTD@WTMKT21,,AS520,AITKEN SPENCE TRAVELS,,,Sri Lanka,Sri Lanka Tourism Promotion Bureau
"Al Messila Resort & Spa, Doha @WTMKT21",,ME300,"Al Messila Resort & Spa, Doha",,,Qatar,Qatar Tourism
ALAYA RESORT UBUD@WTMKT21,,AS500,ALAYA RESORT UBUD,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
ALCUDIA AJUNTAMENT@WTMKT21,,EU500,ALCUDIA,,,Spain,"BALEARIC ISLANDS (Mallorca, Menorca, Ibiza & Formentera)"
ALDEMAR RESORTS@WTMKT21,,"EU1150, EU1100",ALDEMAR RESORTS,,,Greece,Greek National Tourism Organisation
Alentajaya Tour & Travel@WTMKT21,,AS500,Alentajaya Tour & Travel,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
Alentejo Tourism Bureau@WTMKT21,,"EU1050, EU1000",Alentejo Tourism Bureau,,,Portugal,Turismo de Portugal I.P
ALEXANDER BEACH HOTEL & VILLAGE RESORT@WTMKT21,http://www.alexander-beach.com,"EU1150, EU1100",ALEXANDER BEACH HOTEL & VILLAGE RESORT,+30 28970 32134,info@alexander-beach.com,Greece,Greek National Tourism Organisation
Algarve Tourism Bureau@WTMKT21,,"EU1050, EU1000",Algarve Tourism Bureau,,,Portugal,Turismo de Portugal I.P
Alicante City Tourist Board@WTMKT21,,EU750,Alicante City Tourist Board,,,Spain,VALENCIA REGION
Alila Hotels and Resorts Bali@WTMKT21,,AS500,Alila Hotels and Resorts Bali,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
ALILAGUNA VENEZIA@WTMKT21,,EU350,ALILAGUNA VENEZIA,,,Italy,VENETO - Regional Tourism Board
Allbeds@WTMKT21,,EU750,Allbeds,,,Spain,VALENCIA REGION
ALLEGROITALIA TORINO GOLDEN PALACE@WTMKT21,,"EU250, EU200, EU100",ALLEGROITALIA TORINO GOLDEN PALACE,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
AlliedTPro@WTMKT21,http://www.alliedtpro.com,NA142,AlliedTPro,212-596-1000,sales@alliedtpro.com,United States,USA Pavilion
Aloft Kathmandu@WTMKT21,,AS525,Aloft Kathmandu,,,Nepal,Nepal Tourism Board
ALPINE STERLING DMC @WTMKT21,,EU456,ALPINE STERLING DMC,,,Malta,MALTA TOURISM AUTHORITY
AMAALA@WTMKT21,,"ME550, ME450, ME400, ME450",AMAALA,,,Saudi Arabia,Saudi Tourism Authority
Amadeus River Cruises,https://www.amadeus-rivercruises.com,EU1530,Amadeus River Cruises,+13033390660,marcus@amadeus-rivercruises.com,United States,
Amalficoast.com@WTMKT21,,"EU250, EU200, EU100",Amalficoast.com,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
Amari Havodda Maldives@WTMKT21,,AS100,Amari Havodda Maldives,,,Maldives,Maldives Marketing and Public Relations Corporation
ONYX HOSPITALITY GROUP @WTMKT21,https://www.onyx-hospitality.com/,AS520,AMARI/OZO SRI LANKA,+94 (0)11 255 5570,pandula.weerakoon@onyx-hospitality.com,Sri Lanka,Sri Lanka Tourism Promotion Bureau
Amazing Africa@WTMKT21,http://www.amazing-africa.co.za,ENP1,Amazing Africa,0027791378158,mirjam@amazing-africa.co.za,South Africa,South African Tourism
Amazing Evolution@WTMKT21,,"EU1050, EU1000",Amazing Evolution,,,Portugal,Turismo de Portugal I.P
Amazing Jerusalem Boutique & Private Tours@WTMKT21,https://www.amazingjerusalem.com/,EU1550,Amazing Jerusalem Boutique & Private Tours,+972 (0)3 374 1993,info@amazingjerusalem.com,Israel,Israel Government Tourist Office
AMAZON EXPLORAMA LODGES@WTMKT21,,LA300,AMAZON EXPLORAMA LODGES,,,Peru,PROMPERÚ
AMAZON MUYUNA LODGE@WTMKT21,,LA300,AMAZON MUYUNA LODGE,,,Peru,PROMPERÚ
AMAZON RIVER EXPEDITIONS @WTMKT21,,LA300,AMAZON RIVER EXPEDITIONS,,,Peru,PROMPERÚ
Ambassador Travel Croatia,http://www.ambassadortravel.hr,EU1101,Ambassador Travel Croatia,++385993844500,cruises@ambassadortravel.hr,Croatia,
Amber Tours@WTMKT21,https://www.ambertours.lt,"EU1819, EU1819",Amber Tours,+370 52430320,incoming@ambertours.lt,Lithuania,Lithuania Travel -  National Tourism Development Agency
AMERI-TRIP CORP @WTMKT21,,NA142,AMERI-TRIP CORP,,,United States,USA Pavilion
American Queen Voyages@WTMKT21,http://www.aqvoyages.com,NA142,American Queen Voyages,+1-812-3890449,Maria.Whitehorn@AQVoyages.com,United States,USA Pavilion
American Society Of Travel Agents,,MP14,American Society Of Travel Agents,,,United States,
Amiel Tours@WTMKT21,,EU1550,Amiel Tours,,,Israel,Israel Government Tourist Office
Amiens Metropole Tourist Office & Convention Bureau@WTMKT21,,EU300,Amiens Metropole Tourist Office & Convention Bureau,,,France,ATOUT FRANCE
Aminess Hotels & Campsites (Laguna Novigrad Ltd)@WTMKT21,https://www.aminess.com/,EU1200,Aminess Hotels & Campsites (Laguna Novigrad Ltd),+38552858687,agency@aminess.com,Croatia,Croatian National Tourist Board
AMResorts,,CA200,AMR™ Collection,,,United States,
ANA – All Nippon Airways@WTMKT21,https://www.ana.co.jp/en/gb/,AS540,ANA – All Nippon Airways,020 8762 8850,lonsales-marketing@ana.co.jp,United Kingdom,Japan National Tourism Organization
Anantara Qasr Al Sarab Desert Resort@WTMKT21,https://www.anantara.com/en/united-arab-emirates/abu-dhabi,ME105,"Anantara Resorts - Abu Dhabi, UAE (Qasr al Sarab & Sir Bani Yas Island)",+971 2 886 2088,infoqas@anantara.com,United Arab Emirates,Department of Culture and Tourism – Abu Dhabi
Anantara Uluwatu Bali Resort@WTMKT21,,AS500,Anantara Uluwatu Bali Resort,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
ANDEAN EXPLORER'S CUSCO@WTMKT21,,LA300,ANDEAN EXPLORER'S CUSCO,,,Peru,PROMPERÚ
Andes World Travel@WTMKT21,,LA320,Andes World Travel,,,Colombia,PROCOLOMBIA 
ANDREW THE TRAVEL COMPANY PVT LTD@WTMKT21,,AS520,ANDREWS TRAVELS,,,Sri Lanka,Sri Lanka Tourism Promotion Bureau
Aneecha Sailing Catamaran@WTMKT21,https://aneecha.id,AS500,Aneecha Sailing Catamaran,,sales@aneecha.id,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
APL Media,,BL6,APL Media,,,United Kingdom,
Apullacta Expeditions@WTMKT21,,TP240,Apullacta Expeditions,,,Ecuador,Import Promotion Desk (IPD) - Sustainable Tourism Programme
APUMAYO@WTMKT21,,LA300,APUMAYO,,,Peru,PROMPERÚ
Aqaba Special Economic Zone Authority@WTMKT21,,ME540,Aqaba Special Economic Zone Authority,,,Jordan,Jordan Tourism Board
AQUA HOTEL @WTMKT21,https://www.aquahotel.com,EU400,AQUA HOTEL,,,Spain,Catalan Tourist Board
TEKNA RESTAURI SRL@WTMKT21,,EU340,AQUAE SINIS ALBERGO DIFFUSO,,,Italy,REGIONE AUTONOMA DELLA SARDEGNA
ARAGON@WTMKT21,https://www.turismodearagon.com/,EU700,ARAGON,976714000,promocionturistica@aragon.es,Spain,Spanish Tourist Office - London
Archipelago Traveller@WTMKT21,,AS500,Archipelago Traveller,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
Archotel Hotels & Resorts GmbH,,VB13,Arcotel Hotels & Resorts GmbH,,,Austria,
Arcotel Hotels & Resorts GmbH,https://www.arcotel.com,VB13,Arcotel Hotels & Resorts GmbH,+43 1 48555000,office@arcotel.com,Austria,
ARENA DI VERONA OPERA FESTIVAL@WTMKT21,,EU350,ARENA DI VERONA OPERA FESTIVAL,,,Italy,VENETO - Regional Tourism Board
Aroma Nepal Treks & Expedition Pvt. Ltd.@WTMKT21,,TP240,Aroma Nepal Treks & Expedition Pvt. Ltd.,,,Nepal,Import Promotion Desk (IPD) - Sustainable Tourism Programme
Aronda Adriana Travel d.o.o.,https://www.adrianatravel.com,EU1203,Aronda Adriana Travel d.o.o.,+38551272088,info@adrianatravel.com,Croatia,
ARP Africa Travel Limited,https://www.arpafrica.com,VB7,ARP Africa Travel Limited,02084230220,africa@arpafrica.com,United Kingdom,
Artotel Group@WTMKT21,,AS500,Artotel Group,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
AS HOTELS  (MILAN-MONZA-ITALY)@WTMKT21,,"EU250, EU200, EU100",AS HOTELS  (MILAN-MONZA-ITALY),,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
Ascension Parish@WTMKT21,,NA140,Ascension Parish Tourist Commission,,,United States,USA Pavilion
Asia Bespoke Tour @WTMKT21,,AS500,Asia Bespoke Tour,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
Asia Exotica@WTMKT21,,AS402,Asia Exotica,,,Thailand,Tourism Authority Of Thailand -TAT Europe
Asialink Holidays@WTMKT21,,AS500,Asialink Holidays,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
ASIAN TRAILS MALAYSIA,https://www.asiantrails.travel,ENP51,ASIAN TRAILS ,+60-3-2141-5245 ,emir@asiantrails.com.my,Malaysia,
ASSOCIAZIONE STRADA DEL RADICCHIO ROSSO DI TREVISO E VARIEGATO DI CASTELFRANCO VENETO@WTMKT21,,EU350,ASSOCIAZIONE STRADA DEL RADICCHIO ROSSO DI TREVISO E VARIEGATO DI CASTELFRANCO VENETO,,,Italy,VENETO - Regional Tourism Board
